max_ltv,fee_model,borrower_demand,loan_start_type,loan_duration_type,volatility_factor,start_time,seed,mc_iteration,lending_pool,cycle_number,pnl,liquidity_change,pnl_ratio,liquidity_change_ratio,total_earned_fees,total_reclaimed_collateral,collateral_value,initial_liquidity,final_liquidity,average_utilization,normalized_utilization,num_lans,hist-active_loans-ltv_0.0_0.1,hist-active_loans-ltv_0.1_0.2,hist-active_loans-ltv_0.2_0.3,hist-active_loans-ltv_0.3_0.4,hist-active_loans-ltv_0.4_0.5,hist-active_loans-ltv_0.5_0.6,hist-active_loans-ltv_0.6_0.7,hist-active_loans-ltv_0.7_0.8,hist-active_loans-ltv_0.8_0.9,hist-active_loans-ltv_0.9_1.0,hist-active_loans-duration_0.0_0.1,hist-active_loans-duration_0.1_0.2,hist-active_loans-duration_0.2_0.3,hist-active_loans-duration_0.3_0.4,hist-active_loans-duration_0.4_0.5,hist-active_loans-duration_0.5_0.6,hist-active_loans-duration_0.6_0.7,hist-active_loans-duration_0.7_0.8,hist-active_loans-duration_0.8_0.9,hist-active_loans-duration_0.9_1.0,hist-active_loans-start_0.0_0.1,hist-active_loans-start_0.1_0.2,hist-active_loans-start_0.2_0.3,hist-active_loans-start_0.3_0.4,hist-active_loans-start_0.4_0.5,hist-active_loans-start_0.5_0.6,hist-active_loans-start_0.6_0.7,hist-active_loans-start_0.7_0.8,hist-active_loans-start_0.8_0.9,hist-active_loans-start_0.9_1.0,hist-active_loans-size_1000_1585,hist-active_loans-size_1585_2512,hist-active_loans-size_2512_3981,hist-active_loans-size_3981_6310,hist-active_loans-size_6310_10000,hist-active_loans-size_10000_15849,hist-active_loans-size_15849_25119,hist-active_loans-size_25119_39811,hist-active_loans-size_39811_63096,hist-active_loans-size_63096_100000,hist-defaulted_loans-ltv_0.0_0.1,hist-defaulted_loans-ltv_0.1_0.2,hist-defaulted_loans-ltv_0.2_0.3,hist-defaulted_loans-ltv_0.3_0.4,hist-defaulted_loans-ltv_0.4_0.5,hist-defaulted_loans-ltv_0.5_0.6,hist-defaulted_loans-ltv_0.6_0.7,hist-defaulted_loans-ltv_0.7_0.8,hist-defaulted_loans-ltv_0.8_0.9,hist-defaulted_loans-ltv_0.9_1.0,hist-defaulted_loans-duration_0.0_0.1,hist-defaulted_loans-duration_0.1_0.2,hist-defaulted_loans-duration_0.2_0.3,hist-defaulted_loans-duration_0.3_0.4,hist-defaulted_loans-duration_0.4_0.5,hist-defaulted_loans-duration_0.5_0.6,hist-defaulted_loans-duration_0.6_0.7,hist-defaulted_loans-duration_0.7_0.8,hist-defaulted_loans-duration_0.8_0.9,hist-defaulted_loans-duration_0.9_1.0,hist-defaulted_loans-start_0.0_0.1,hist-defaulted_loans-start_0.1_0.2,hist-defaulted_loans-start_0.2_0.3,hist-defaulted_loans-start_0.3_0.4,hist-defaulted_loans-start_0.4_0.5,hist-defaulted_loans-start_0.5_0.6,hist-defaulted_loans-start_0.6_0.7,hist-defaulted_loans-start_0.7_0.8,hist-defaulted_loans-start_0.8_0.9,hist-defaulted_loans-start_0.9_1.0,hist-defaulted_loans-size_1000_1585,hist-defaulted_loans-size_1585_2512,hist-defaulted_loans-size_2512_3981,hist-defaulted_loans-size_3981_6310,hist-defaulted_loans-size_6310_10000,hist-defaulted_loans-size_10000_15849,hist-defaulted_loans-size_15849_25119,hist-defaulted_loans-size_25119_39811,hist-defaulted_loans-size_39811_63096,hist-defaulted_loans-size_63096_100000,hist-repaid_loans-ltv_0.0_0.1,hist-repaid_loans-ltv_0.1_0.2,hist-repaid_loans-ltv_0.2_0.3,hist-repaid_loans-ltv_0.3_0.4,hist-repaid_loans-ltv_0.4_0.5,hist-repaid_loans-ltv_0.5_0.6,hist-repaid_loans-ltv_0.6_0.7,hist-repaid_loans-ltv_0.7_0.8,hist-repaid_loans-ltv_0.8_0.9,hist-repaid_loans-ltv_0.9_1.0,hist-repaid_loans-duration_0.0_0.1,hist-repaid_loans-duration_0.1_0.2,hist-repaid_loans-duration_0.2_0.3,hist-repaid_loans-duration_0.3_0.4,hist-repaid_loans-duration_0.4_0.5,hist-repaid_loans-duration_0.5_0.6,hist-repaid_loans-duration_0.6_0.7,hist-repaid_loans-duration_0.7_0.8,hist-repaid_loans-duration_0.8_0.9,hist-repaid_loans-duration_0.9_1.0,hist-repaid_loans-start_0.0_0.1,hist-repaid_loans-start_0.1_0.2,hist-repaid_loans-start_0.2_0.3,hist-repaid_loans-start_0.3_0.4,hist-repaid_loans-start_0.4_0.5,hist-repaid_loans-start_0.5_0.6,hist-repaid_loans-start_0.6_0.7,hist-repaid_loans-start_0.7_0.8,hist-repaid_loans-start_0.8_0.9,hist-repaid_loans-start_0.9_1.0,hist-repaid_loans-size_1000_1585,hist-repaid_loans-size_1585_2512,hist-repaid_loans-size_2512_3981,hist-repaid_loans-size_3981_6310,hist-repaid_loans-size_6310_10000,hist-repaid_loans-size_10000_15849,hist-repaid_loans-size_15849_25119,hist-repaid_loans-size_25119_39811,hist-repaid_loans-size_39811_63096,hist-repaid_loans-size_63096_100000,hist-loans-ltv_0.0_0.1,hist-loans-ltv_0.1_0.2,hist-loans-ltv_0.2_0.3,hist-loans-ltv_0.3_0.4,hist-loans-ltv_0.4_0.5,hist-loans-ltv_0.5_0.6,hist-loans-ltv_0.6_0.7,hist-loans-ltv_0.7_0.8,hist-loans-ltv_0.8_0.9,hist-loans-ltv_0.9_1.0,hist-loans-duration_0.0_0.1,hist-loans-duration_0.1_0.2,hist-loans-duration_0.2_0.3,hist-loans-duration_0.3_0.4,hist-loans-duration_0.4_0.5,hist-loans-duration_0.5_0.6,hist-loans-duration_0.6_0.7,hist-loans-duration_0.7_0.8,hist-loans-duration_0.8_0.9,hist-loans-duration_0.9_1.0,hist-loans-start_0.0_0.1,hist-loans-start_0.1_0.2,hist-loans-start_0.2_0.3,hist-loans-start_0.3_0.4,hist-loans-start_0.4_0.5,hist-loans-start_0.5_0.6,hist-loans-start_0.6_0.7,hist-loans-start_0.7_0.8,hist-loans-start_0.8_0.9,hist-loans-start_0.9_1.0,hist-loans-size_1000_1585,hist-loans-size_1585_2512,hist-loans-size_2512_3981,hist-loans-size_3981_6310,hist-loans-size_6310_10000,hist-loans-size_10000_15849,hist-loans-size_15849_25119,hist-loans-size_25119_39811,hist-loans-size_39811_63096,hist-loans-size_63096_100000,dist-loan_fees-ltv_0.0_0.1,dist-loan_fees-ltv_0.1_0.2,dist-loan_fees-ltv_0.2_0.3,dist-loan_fees-ltv_0.3_0.4,dist-loan_fees-ltv_0.4_0.5,dist-loan_fees-ltv_0.5_0.6,dist-loan_fees-ltv_0.6_0.7,dist-loan_fees-ltv_0.7_0.8,dist-loan_fees-ltv_0.8_0.9,dist-loan_fees-ltv_0.9_1.0,dist-loan_fees-duration_0.0_0.1,dist-loan_fees-duration_0.1_0.2,dist-loan_fees-duration_0.2_0.3,dist-loan_fees-duration_0.3_0.4,dist-loan_fees-duration_0.4_0.5,dist-loan_fees-duration_0.5_0.6,dist-loan_fees-duration_0.6_0.7,dist-loan_fees-duration_0.7_0.8,dist-loan_fees-duration_0.8_0.9,dist-loan_fees-duration_0.9_1.0,dist-loan_fees-start_0.0_0.1,dist-loan_fees-start_0.1_0.2,dist-loan_fees-start_0.2_0.3,dist-loan_fees-start_0.3_0.4,dist-loan_fees-start_0.4_0.5,dist-loan_fees-start_0.5_0.6,dist-loan_fees-start_0.6_0.7,dist-loan_fees-start_0.7_0.8,dist-loan_fees-start_0.8_0.9,dist-loan_fees-start_0.9_1.0,dist-loan_fees-size_1000_1585,dist-loan_fees-size_1585_2512,dist-loan_fees-size_2512_3981,dist-loan_fees-size_3981_6310,dist-loan_fees-size_6310_10000,dist-loan_fees-size_10000_15849,dist-loan_fees-size_15849_25119,dist-loan_fees-size_25119_39811,dist-loan_fees-size_39811_63096,dist-loan_fees-size_63096_100000
0.85,bsmtradsum,0.5,parabolic,parabolic,1.0,2022-09-14,95739,0,V2LendingPool,1,-21641.35571301577,-180903.80226541392,-0.021641355713015772,-0.18090380226541392,1042.111217252974,147.08138408042328,159262.44655239815,1000000,819096.1977345861,0.509869792301042,0.4953772574310938,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,1,1,3,1,0,1,3,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,2,7,3,6,2,5,3,5,2,0,0,3,3,4,4,7,6,4,3,1,5,9,6,4,1,5,2,2,1,0,4,4,3,3,3,7,1,5,3,2,2,7,3,6,2,5,3,7,6,0,0,3,3,4,4,8,7,7,4,1,6,12,7,5,1,5,2,2,1,0,4,4,4,3,4,8,1,6,4,3,4.759452216468443,108.26529500507256,39.28631863076252,30.42989937710376,27.863725330791237,46.783714396502084,105.4522664012373,480.3984946851003,4898.009122268262,0,0.0,8.049589640678665,35.324298754959784,9.448104781168114,242.18888429548304,587.2311709593871,804.4121514208678,3756.9267315192774,244.92701976600802,52.74033717347161,145.28663552920068,2200.54861073324,2791.5459799598652,189.98881352044256,184.01991784119213,210.48809702190846,5.330891517907712,13.75973217864795,0.27961000889647625,0.0,3.1862442450928645,4.848052124000768,64.09658610547636,9.126645787255988,74.19285217592709,680.198512276034,16.238306355269618,844.6608839257625,1470.18475993134,2574.5154453851424
0.85,bsmtradsum,0.5,parabolic,parabolic,1.0,2022-09-14,95740,1,V2LendingPool,1,2557.6764375295024,2557.676437528804,0.0025576764375295023,0.002557676437528804,2557.676437529007,3.836930773104541e-13,7.464657391245742e-10,1000000,1002557.6764375288,0.4961337973794154,0.4980207432709749,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,3,5,6,4,9,6,5,0,1,3,2,6,12,13,4,6,4,0,12,9,13,9,2,1,2,1,2,0,3,6,7,5,7,5,5,1,6,6,6,7,3,5,6,4,9,6,5,0,1,3,2,6,12,13,4,6,4,0,12,9,13,9,2,1,2,1,2,0,3,6,7,5,7,5,5,1,6,6,40.921223712648676,40.968855452673836,57.16125027707637,71.96907801063091,16.367460124264497,46.663382805988434,203.16990291330632,310.5272290691187,1769.9280551632992,0,0.19789463847921737,56.69125940873181,17.41372631262806,109.14103493323199,823.6145638254006,1385.801480797678,13.64845480882962,51.6732291027987,99.49479370122906,0.0,517.3556970538976,794.2598489814193,971.3798443561824,80.42078628312774,35.69262406953238,76.21633626882038,34.17399205674239,9.560887131165574,38.61642132811916,0.0,3.851413344073999,21.11812812348694,49.50017659584276,18.832707180347178,48.390288295195006,42.17415540668136,489.5540272407055,137.90426812515125,1525.6093869476047,220.74188626991844
0.85,bsmtradsum,0.5,parabolic,parabolic,1.0,2022-09-14,95741,2,V2LendingPool,1,3562.2164645942394,3562.2164645942394,0.0035622164645942394,0.0035622164645942394,3562.2164645945727,2.3092638912203256e-14,3.7425045645740344e-11,1000000,1003562.2164645942,0.48533737980768776,0.48703986516701975,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8,6,3,8,6,7,6,0,2,4,3,6,5,8,11,7,2,4,15,15,8,2,3,3,2,2,1,1,8,6,4,0,4,11,6,4,4,5,2,6,8,6,3,8,6,7,6,0,2,4,3,6,5,8,11,7,2,4,15,15,8,2,3,3,2,2,1,1,8,6,4,0,4,11,6,4,4,5,2.425785173791997,104.57029996282132,42.81107379573072,65.3234422152425,13.995376903319924,49.37541304017969,85.44994331209331,687.7472073357367,2510.5179228556567,0,19.894009083252325,14.98859704816746,12.075298893376152,550.7952702439455,26.408034221679124,708.7983969034676,1403.5890562239206,139.8795779457205,30.50778287428063,655.2804411567632,1903.2154015357328,1003.7983402599053,81.01787691397044,2.3079522629986267,504.77544146842376,20.284998025420137,27.322854093199865,4.507178662372641,0.4003267644364384,14.586094608113621,31.43371867953005,16.86497377722794,22.24881188872664,0.0,64.56878028698702,688.4314566847612,81.32226621029072,1665.792759741739,549.7391754124144,441.8145219128965
0.85,bsmtradsum,0.5,parabolic,parabolic,1.0,2022-09-14,95742,3,V2LendingPool,1,-3176.7493881487753,-130730.84896787105,-0.0031767493881487753,-0.13073084896787104,1590.889799088886,97.11825780985527,127554.09957972233,1000000,869269.151032129,0.5090643533184099,0.48202923148498034,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,2,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,4,1,8,8,4,3,4,3,5,0,1,2,4,3,7,6,6,7,1,3,11,12,5,3,3,2,3,1,0,0,5,3,6,5,2,2,3,5,3,6,4,1,8,8,4,3,4,3,9,0,1,2,4,3,8,6,6,9,2,3,14,12,6,3,3,2,3,1,0,0,5,3,6,5,3,3,3,5,5,6,58.74566724107707,2.289036692166973,92.65197123909424,100.02967929126018,19.364649990294172,39.64692164730051,33.956805098725965,83.91142371783232,3638.1969869957657,0,5.113561265860245,31.88877090140197,224.87682604429105,9.04747514236541,1179.5723827321817,642.8133914037843,91.08174344492849,1528.047758087977,284.52169226104024,71.8295406296867,1665.5422770191144,297.48504107199085,1713.7284289386366,60.69949302860677,82.72117211048786,22.77370982215335,207.21145385063392,18.63156607189355,0.0,0.0,3.951704579502616,2.4882381475555846,69.77839636832624,156.3489109460651,296.4528309840573,495.07816827282284,29.902077625905633,690.273631940175,2170.8588518645233,153.66033118458353
0.85,bsmtradsum,0.5,parabolic,parabolic,1.0,2022-09-14,95743,4,V2LendingPool,1,-1269.148933016695,-11809.94671819394,-0.001269148933016695,-0.01180994671819394,1683.0007717009612,9.409472464236558,10540.79778517725,1000000,988190.0532818061,0.47805077151747977,0.47864997969421796,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,3,4,5,5,7,5,2,5,0,0,1,5,9,5,6,4,6,2,0,6,9,5,7,3,6,2,0,0,0,5,1,4,3,3,4,3,7,5,3,2,3,4,5,5,7,5,2,7,0,0,1,6,9,5,6,4,6,2,1,7,9,5,7,3,6,2,1,0,0,6,1,4,3,3,5,3,7,5,3,46.64960703970669,6.593008769517219,61.33419808677733,63.0592762021275,92.43452403379275,29.696818524194804,312.9595281401808,611.7441936205131,557.1185968279831,0,0.0,9.06600481629382,76.99950019985751,381.09634423571674,89.57589321692915,119.55048472552399,222.57277579639955,687.9110422287921,152.06243226989412,42.755273755386185,196.98233562889885,791.5484440810181,205.47454115789213,388.6307667688414,37.960098142091894,83.73717508226204,21.42268459534273,55.833705788446,0.0,0.0,50.32470121800436,2.7026974639868264,96.71565065381432,54.85320378522539,27.226432316679006,145.14395809189216,276.7285733179514,101.41875963100209,324.4316285903142,702.0441461759234
0.85,bsmtradsum,0.5,parabolic,parabolic,1.0,2022-09-14,95744,5,V2LendingPool,1,6069.707115622703,-98766.13801686477,0.006069707115622703,-0.09876613801686478,1129.4721198793018,73.48580140154556,104835.8451324875,1000000,901233.8619831352,0.5218356977751916,0.48895978574087234,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,1,0,1,1,2,2,0,3,5,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,2,0,0,4,3,6,5,3,4,1,8,3,0,0,1,6,7,6,6,2,2,6,1,13,3,6,3,2,4,3,2,1,0,4,3,2,5,3,4,2,7,3,4,4,3,6,5,3,4,1,8,11,0,0,1,7,8,6,7,3,4,8,1,16,8,6,3,2,4,3,2,1,0,4,6,3,6,3,4,3,9,3,4,53.879353251091246,25.32534828682226,61.37474243538763,98.78145565878259,20.3010989301862,58.43067860273788,2.244404679132503,624.3590757004698,2224.6407718705905,0,0.0,2.7030111295974595,426.3091173914156,329.9411239568772,342.76350513394436,521.094062916674,82.38210298171654,169.12671381993442,1278.923567152247,16.093724932793968,1764.676603406534,717.5009327152129,308.05002227325616,34.42777453299439,25.29186028486648,127.70026754988244,43.904424197052656,145.08203332580425,2.7030111295974595,0.0,3.190496479317497,127.53454853050056,92.38983992562254,176.57611185501247,71.38906393893609,105.81546169711375,515.8872603723133,1562.0010875534288,261.9725207139419,252.58053834901386
0.85,bsmtradsum,0.5,parabolic,parabolic,1.0,2022-09-14,95745,6,V2LendingPool,1,-12989.229457011796,-180472.38241183432,-0.012989229457011796,-0.18047238241183433,726.0340065723888,145.40420365999222,167483.15295482255,1000000,819527.6175881657,0.511512378553173,0.4902449621501602,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,1,0,1,0,3,0,2,2,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,2,0,1,3,4,2,7,7,1,3,4,2,0,0,2,1,4,6,4,4,6,3,3,11,6,6,4,3,3,0,0,0,0,4,3,7,3,4,1,1,3,2,5,3,4,2,7,7,1,3,5,7,0,0,2,2,4,7,4,5,6,6,3,13,8,7,4,3,3,1,0,0,0,5,3,8,3,5,1,1,5,2,6,40.49247428046046,11.785431030730006,16.13809586607026,93.16189469389069,123.84405897123045,4.122303223968389,120.86694407288516,196.74447769545378,2496.0105826724284,0,0.0,22.661881308472367,552.4532396396611,60.50241659387889,277.209470656541,56.57249255456807,882.2437951837466,164.5889619760946,1039.8470821234823,47.08692247067313,1010.4602391426671,1385.852370523133,61.047728401535096,29.6689370314813,5.495197677148477,60.131852631212716,550.5099370999402,0.0,0.0,0.0,30.05595642685092,4.387883672219084,118.81606249189961,53.2355627821693,393.3415202942821,7.502141937550981,2.7286518723075086,1614.1343689513355,81.88153209046719,797.0825819880359
0.85,bsmtradsum,0.5,parabolic,parabolic,1.0,2022-09-14,95746,7,V2LendingPool,1,2883.547711403575,2883.5477114034584,0.0028835477114035747,0.0028835477114034585,2883.5477114036735,9.592326932761353e-14,1.7384758284660347e-10,1000000,1002883.5477114035,0.4697060480550372,0.47106999891484136,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,7,1,2,3,2,6,0,2,1,0,4,5,4,10,3,4,3,14,8,5,3,4,0,1,1,0,0,4,6,1,4,1,4,5,3,5,3,4,5,6,7,1,2,3,2,6,0,2,1,0,4,5,4,10,3,4,3,14,8,5,3,4,0,1,1,0,0,4,6,1,4,1,4,5,3,5,3,60.314694999601556,17.471406072487866,50.21777381411704,178.93494444697524,6.066362768037139,29.44343520678052,76.98136941211288,741.7787616791002,1722.3389630044612,0,0.292607573256263,8.275868748111824,0.0,225.2661291124558,212.11602854740238,38.24314085811891,1084.3024741423847,69.79436797281917,1232.26554957472,12.991544874404251,2057.7220999415144,596.1756593669131,52.0935727076501,40.348452867077256,136.2343376711715,0.0,0.78732937038212,0.18625947896533296,0.0,0.0,65.06663914861618,18.929177231735363,1.0524488159507688,16.007882197050723,98.94069652173891,484.87245633610536,256.23442105351256,772.087463626864,1021.2262018367738,149.13032463532588
0.85,bsmtradsum,0.5,parabolic,parabolic,1.0,2022-09-14,95747,8,V2LendingPool,1,-49768.55104817171,-185171.73626196175,-0.049768551048171704,-0.18517173626196176,462.8264992224906,129.89047551357137,135403.18521378998,1000000,814828.2637380383,0.477022751018338,0.4536682930611844,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,1,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,2,1,4,2,4,3,1,0,0,0,0,2,0,4,3,2,5,1,1,6,5,0,6,1,0,0,0,0,0,1,2,3,2,0,0,2,4,2,2,1,2,1,4,2,4,3,3,2,0,0,0,2,0,5,3,3,6,1,2,7,5,3,6,1,0,0,0,0,0,1,2,3,2,1,0,2,4,4,3,11.282952693845363,25.86593677557635,0.8652736853127496,25.747205562686965,75.25693216973698,134.52602631519812,136.8863932370619,364.81243057601705,3408.3249850805346,0,0.0,0.0,7.1520346216266635,0.0,277.55357827263845,44.233308004557955,1531.5759901535066,332.0033478926671,89.19918877342266,1901.8506883775508,2062.7208138806427,266.3805086232984,1822.6158484166222,25.410525802495897,6.440439372910969,0.0,0.0,0.0,0.0,0.0,0.6455121121642585,1.5768689340284436,7.186880163202412,8.867047016842674,93.91178519700495,0.0,17.723392066756332,196.77406485993404,2188.667707552111,1668.2148781939259
0.85,bsmtradsum,0.5,parabolic,parabolic,1.0,2022-09-14,95748,9,V2LendingPool,1,6415.312617864693,-12917.86471631669,0.006415312617864693,-0.01291786471631669,5544.409638157465,12.764892552796937,19333.177334181328,1000000,987082.1352836833,0.4834956176375631,0.47352368108331827,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,5,6,4,1,3,4,6,6,0,0,2,2,8,8,7,5,3,3,1,12,2,3,9,3,8,1,0,1,0,7,2,4,1,5,4,3,6,3,4,4,5,6,4,1,3,4,6,7,0,0,2,3,8,8,7,5,3,3,1,12,3,3,9,3,8,1,0,1,0,7,2,4,1,5,4,4,6,3,4,74.57508609861475,41.471034308338446,23.046107614493284,56.65112971315611,7.42160634488661,58.9897765730126,33.261970391114126,1398.4173485833414,3946.248046166618,0,0.0,3.8920647908088526,118.72176040287363,470.9625367071515,194.5086721057357,145.02132969610972,2102.980810325266,18.747811610134985,2573.1071823501734,12.139937805321974,2624.8370607153224,146.39228456912298,36.37420571411131,2201.1328241261276,123.10229020452815,501.33627918154525,3.4867073728262956,0.0,3.420453909991288,0.0,34.52382633269757,13.283041332927246,26.586643813277476,0.4716108808175648,17.18651944805123,61.30555288516857,325.4641203590033,1683.5760353068215,1283.9876834222914,2193.697072012519
